,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12785,Richmond upon Thames,Entire home/apt,90,7,3,0.09,2,0
12788,Southwark,Private room,65,2,84,2.28,1,0
12789,Islington,Private room,122,2,1,0.08,4,308
12790,Hackney,Private room,65,2,93,2.56,1,82
12791,Hammersmith and Fulham,Entire home/apt,120,2,13,0.36,1,10
12793,Lambeth,Entire home/apt,150,1,1,0.03,2,0
12796,Lambeth,Private room,60,2,5,0.14,2,0
12797,Southwark,Private room,90,2,1,0.03,1,0
12798,Lewisham,Private room,21,1,63,4.06,1,121
12799,Ealing,Entire home/apt,125,1,5,0.15,1,0
12800,Richmond upon Thames,Private room,125,1,2,1.15,1,365
12803,Southwark,Entire home/apt,90,2,39,1.11,1,6
12804,Hackney,Entire home/apt,130,5,11,0.31,1,7
12805,Hammersmith and Fulham,Entire home/apt,150,1,3,0.09,1,0
12807,Kensington and Chelsea,Entire home/apt,125,2,30,0.88,1,300
12808,Haringey,Private room,110,1,3,0.1,14,364
12809,Hackney,Private room,50,3,3,0.09,1,80
12810,Southwark,Private room,45,1,64,2.67,3,82
12811,Islington,Private room,40,2,4,0.13,2,31
12812,Barnet,Entire home/apt,50,5,7,0.2,1,18
12813,Kensington and Chelsea,Entire home/apt,175,2,9,0.28,20,4
12814,Lambeth,Entire home/apt,90,4,103,2.91,1,2
12815,Hackney,Private room,25,4,7,0.2,1,0
12816,Hackney,Private room,65,1,6,0.17,2,355
12817,Islington,Private room,28,2,41,1.15,1,65
12821,Hackney,Private room,30,1,9,0.25,1,228
12822,Camden,Entire home/apt,120,6,37,1.02,1,280
12824,Lambeth,Entire home/apt,169,3,14,0.56,1,189
12826,Camden,Entire home/apt,99,2,126,3.59,1,8
12827,Kensington and Chelsea,Private room,70,7,1,0.03,1,0
12828,Wandsworth,Private room,45,1,21,0.6,1,0
12829,Islington,Entire home/apt,95,2,1,0.03,1,0
12830,Brent,Private room,67,2,100,3.84,1,232
12831,Westminster,Entire home/apt,99,3,40,1.27,1,0
12832,Southwark,Entire home/apt,80,4,29,1.1,1,0
12834,Hounslow,Entire home/apt,55,2,12,0.48,1,0
12835,Lewisham,Private room,32,1,22,0.75,5,332
12836,Hackney,Private room,20,1,2,0.05,1,0
12837,Hackney,Private room,23,1,1,0.03,1,0
12838,Barnet,Private room,37,1,1,0.22,1,180
12839,Hackney,Private room,30,4,6,0.17,1,0
12840,Lambeth,Private room,45,1,29,0.81,1,51
12842,Tower Hamlets,Entire home/apt,240,7,4,0.12,1,9
12843,Westminster,Entire home/apt,135,7,13,0.37,1,202
12844,Camden,Entire home/apt,110,1,1,0.03,1,0
12846,Camden,Private room,80,1,1,0.04,2,343
12847,Tower Hamlets,Private room,49,5,10,0.3,1,0
12848,Hounslow,Entire home/apt,65,3,17,0.53,1,101
12851,Hackney,Private room,55,1,9,0.26,1,0
12853,Kensington and Chelsea,Entire home/apt,120,2,78,2.5,2,304
12854,Southwark,Private room,45,1,1,1.0,1,2
12855,Richmond upon Thames,Entire home/apt,37,4,2,0.06,1,240
12857,Kensington and Chelsea,Entire home/apt,220,7,1,0.03,13,67
12858,Kensington and Chelsea,Private room,54,1,1,0.03,1,0
12859,Camden,Entire home/apt,95,2,10,0.28,1,0
12860,Camden,Entire home/apt,120,4,3,0.09,1,0
12861,Brent,Entire home/apt,85,3,19,0.61,1,312
12863,Islington,Private room,28,1,2,0.06,2,0
12864,Hounslow,Private room,50,1,2,0.06,1,337
12866,Hackney,Entire home/apt,132,2,85,2.32,2,113
12869,Haringey,Private room,40,1,4,0.12,2,38
12872,Hackney,Entire home/apt,102,6,63,1.72,8,162
12873,Lewisham,Entire home/apt,160,2,30,0.84,1,315
12874,Haringey,Entire home/apt,150,1,13,0.57,1,251
12876,Greenwich,Private room,40,1,22,0.66,1,180
12877,Lambeth,Entire home/apt,55,1,11,0.31,1,0
12880,Camden,Entire home/apt,171,2,30,0.89,1,308
12881,Haringey,Private room,28,2,5,0.15,1,5
12882,Hillingdon,Entire home/apt,95,1,5,0.16,1,221
12884,Newham,Entire home/apt,110,2,74,2.09,3,74
12886,Islington,Private room,46,1,31,1.03,1,0
12887,Islington,Private room,45,1,2,0.05,1,0
12888,Richmond upon Thames,Entire home/apt,90,2,62,2.94,1,185
12890,Kensington and Chelsea,Private room,53,2,3,0.09,1,52
12891,Kensington and Chelsea,Entire home/apt,205,2,1,0.03,2,0
12892,Southwark,Private room,39,1,1,0.03,1,0
12893,Brent,Private room,42,1,6,0.16,1,0
12894,Newham,Entire home/apt,49,3,16,0.46,2,13
